Circuit,id,value
1,Non-Probationable Forcible Felony & Sex Offenses,648
1,Weapon Offenses,586
1,Domestic Violence/VOOP,3879
1,Class 3 Felony or Greater,5718
1,Non-Detainable,11088
2,Non-Probationable Forcible Felony & Sex Offenses,640
2,Weapon Offenses,376
2,Domestic Violence/VOOP,3263
2,Class 3 Felony or Greater,6359
2,Non-Detainable,12616
3,Non-Probationable Forcible Felony & Sex Offenses,1678
3,Weapon Offenses,1784
3,Domestic Violence/VOOP,5581
3,Class 3 Felony or Greater,8924
3,Non-Detainable,15930
4,Non-Probationable Forcible Felony & Sex Offenses,544
4,Weapon Offenses,413
4,Domestic Violence/VOOP,3037
4,Class 3 Felony or Greater,4707
4,Non-Detainable,12690
5,Non-Probationable Forcible Felony & Sex Offenses,577
5,Weapon Offenses,598
5,Domestic Violence/VOOP,3506
5,Class 3 Felony or Greater,5689
5,Non-Detainable,12224
6,Non-Probationable Forcible Felony & Sex Offenses,1260
6,Weapon Offenses,1364
6,Domestic Violence/VOOP,8189
6,Class 3 Felony or Greater,6651
6,Non-Detainable,14456
7,Non-Probationable Forcible Felony & Sex Offenses,1123
7,Weapon Offenses,1140
7,Domestic Violence/VOOP,8228
7,Class 3 Felony or Greater,8163
7,Non-Detainable,21708
8,Non-Probationable Forcible Felony & Sex Offenses,346
8,Weapon Offenses,143
8,Domestic Violence/VOOP,1594
8,Class 3 Felony or Greater,2562
8,Non-Detainable,4340
9,Non-Probationable Forcible Felony & Sex Offenses,316
9,Weapon Offenses,283
9,Domestic Violence/VOOP,2711
9,Class 3 Felony or Greater,3684
9,Non-Detainable,11667
10,Non-Probationable Forcible Felony & Sex Offenses,1257
10,Weapon Offenses,1171
10,Domestic Violence/VOOP,10126
10,Class 3 Felony or Greater,7563
10,Non-Detainable,22523
11,Non-Probationable Forcible Felony & Sex Offenses,675
11,Weapon Offenses,488
11,Domestic Violence/VOOP,4191
11,Class 3 Felony or Greater,5870
11,Non-Detainable,17186
12,Non-Probationable Forcible Felony & Sex Offenses,562
12,Weapon Offenses,1061
12,Domestic Violence/VOOP,5992
12,Class 3 Felony or Greater,3912
12,Non-Detainable,17299
13,Non-Probationable Forcible Felony & Sex Offenses,262
13,Weapon Offenses,146
13,Domestic Violence/VOOP,2364
13,Class 3 Felony or Greater,2119
13,Non-Detainable,13132
14,Non-Probationable Forcible Felony & Sex Offenses,396
14,Weapon Offenses,427
14,Domestic Violence/VOOP,3591
14,Class 3 Felony or Greater,1934
14,Non-Detainable,9289
15,Non-Probationable Forcible Felony & Sex Offenses,343
15,Weapon Offenses,189
15,Domestic Violence/VOOP,2376
15,Class 3 Felony or Greater,1841
15,Non-Detainable,10096
16,Non-Probationable Forcible Felony & Sex Offenses,799
16,Weapon Offenses,665
16,Domestic Violence/VOOP,6537
16,Class 3 Felony or Greater,3984
16,Non-Detainable,27762
17,Non-Probationable Forcible Felony & Sex Offenses,1013
17,Weapon Offenses,1046
17,Domestic Violence/VOOP,6839
17,Class 3 Felony or Greater,4000
17,Non-Detainable,17788
18,Non-Probationable Forcible Felony & Sex Offenses,729
18,Weapon Offenses,634
18,Domestic Violence/VOOP,6550
18,Class 3 Felony or Greater,5086
18,Non-Detainable,35094
19,Non-Probationable Forcible Felony & Sex Offenses,900
19,Weapon Offenses,867
19,Domestic Violence/VOOP,4845
19,Class 3 Felony or Greater,4274
19,Non-Detainable,25992
20,Non-Probationable Forcible Felony & Sex Offenses,981
20,Weapon Offenses,1461
20,Domestic Violence/VOOP,3440
20,Class 3 Felony or Greater,7917
20,Non-Detainable,15546
21,Non-Probationable Forcible Felony & Sex Offenses,512
21,Weapon Offenses,496
21,Domestic Violence/VOOP,2494
21,Class 3 Felony or Greater,2710
21,Non-Detainable,8992
22,Non-Probationable Forcible Felony & Sex Offenses,522
22,Weapon Offenses,120
22,Domestic Violence/VOOP,2886
22,Class 3 Felony or Greater,2476
22,Non-Detainable,11432
23,Non-Probationable Forcible Felony & Sex Offenses,333
23,Weapon Offenses,190
23,Domestic Violence/VOOP,3116
23,Class 3 Felony or Greater,1500
23,Non-Detainable,9820
Cook,Non-Probationable Forcible Felony & Sex Offenses,12277
Cook,Weapon Offenses,25822
Cook,Domestic Violence/VOOP,57862
Cook,Class 3 Felony or Greater,55690
Cook,Non-Detainable,322783
Statewide,Non-Probationable Forcible Felony & Sex Offenses,28693
Statewide,Weapon Offenses,41470
Statewide,Domestic Violence/VOOP,163197
Statewide,Class 3 Felony or Greater,163333
Statewide,Non-Detainable,681453
